,0,1,2,3,4,5,6,7,8,9,10
155,0.382,0.522,5.0,-7.823,0.0,0.0858,0.0765,0.000219,0.108,0.037,105.986
156,0.49,0.629,2.0,-4.072,0.0,0.0399,0.0732,0.0,0.0957,0.3,74.967
157,0.594,0.815,8.0,-3.47,1.0,0.0423,0.367,0.0,0.0948,0.339,137.933
158,0.726,0.768,5.0,-4.864,0.0,0.0403,0.272,0.000288,0.103,0.433,137.927
159,0.577,0.791,11.0,-5.479,0.0,0.19,0.112,0.0896,0.111,0.059,156.09
160,0.726,0.768,5.0,-4.864,0.0,0.0403,0.272,0.000288,0.103,0.433,137.927
161,0.42,0.934,6.0,-4.505,0.0,0.0647,0.0319,0.89,0.0951,0.156,149.991
162,0.518,0.989,7.0,-2.997,1.0,0.0771,0.243,0.755,0.239,0.0856,94.005
163,0.448,0.627,10.0,-5.657,0.0,0.047,0.308,0.0,0.159,0.37,149.756
164,0.571,0.897,0.0,-2.463,0.0,0.0432,0.113,0.246,0.158,0.446,139.996
165,0.349,0.693,9.0,-4.487,0.0,0.0449,0.237,2.9e-05,0.0972,0.111,175.881
166,0.452,0.52,11.0,-14.606,0.0,0.0665,0.97,0.915,0.11,0.193,123.819
167,0.552,0.915,10.0,-4.421,0.0,0.0616,0.139,0.949,0.146,0.126,160.02
168,0.449,0.963,11.0,-2.041,1.0,0.0734,0.0049,0.09,0.227,0.124,149.854
169,0.532,0.949,0.0,-3.902,1.0,0.0559,0.00168,0.923,0.309,0.616,149.962
170,0.348,0.472,3.0,-5.398,1.0,0.0317,0.522,1.03e-06,0.216,0.0612,127.944
171,0.597,0.961,5.0,-2.909,0.0,0.0492,0.244,0.412,0.0928,0.345,140.034
172,0.707,0.819,1.0,-4.205,0.0,0.0712,0.0652,0.0,0.137,0.358,116.044
173,0.588,0.845,2.0,-3.31,0.0,0.0362,0.0238,0.0018,0.0762,0.0566,131.961
174,0.38,0.726,9.0,-6.303,0.0,0.0653,0.154,0.0142,0.0712,0.259,154.034
175,0.791,0.999,11.0,-1.881,1.0,0.272,0.131,0.469,0.347,0.143,144.994
