,0,1,2,3,4,5,6,7,8,9,10
109,0.537,0.716,2.0,-8.766,1.0,0.038,0.0192,0.0,0.245,0.452,122.873
110,0.523,0.402,0.0,-8.233,1.0,0.0305,0.778,0.0,0.432,0.675,70.863
111,0.691,0.507,11.0,-10.23,1.0,0.0343,0.627,0.0,0.457,0.885,128.518
112,0.515,0.698,2.0,-5.572,0.0,0.0279,5.71e-05,8.64e-05,0.0827,0.194,139.96
113,0.828,0.686,11.0,-5.689,0.0,0.218,0.273,0.0,0.524,0.617,91.713
114,0.524,0.797,2.0,-4.777,1.0,0.0329,0.209,0.0,0.286,0.783,159.859
115,0.397,0.785,2.0,-9.168,0.0,0.0545,0.328,0.00495,0.0621,0.646,96.333
116,0.71,0.545,4.0,-9.599,1.0,0.0588,0.483,0.0,0.0644,0.632,140.233
117,0.474,0.351,7.0,-7.533,1.0,0.0292,0.0122,7.35e-06,0.112,0.104,139.827
118,0.815,0.601,7.0,-4.468,1.0,0.332,0.154,0.0,0.115,0.756,101.292
119,0.394,0.644,5.0,-10.996,1.0,0.0367,0.244,0.198,0.328,0.182,117.152
120,0.523,0.477,6.0,-9.076,1.0,0.0254,0.0961,0.000106,0.101,0.249,76.973
121,0.807,0.83,4.0,-4.04,1.0,0.0367,0.0444,0.000358,0.0842,0.954,128.501
122,0.55,0.726,2.0,-8.51,1.0,0.0516,0.146,0.00608,0.428,0.37,92.697
123,0.654,0.537,7.0,-8.067,1.0,0.0257,0.196,0.0,0.119,0.597,112.437
124,0.869,0.887,0.0,-4.505,1.0,0.0993,0.0605,0.0,0.148,0.784,129.221
125,0.878,0.437,2.0,-7.922,1.0,0.29,0.432,0.00264,0.124,0.193,130.015
126,0.717,0.751,2.0,-7.303,0.0,0.0319,0.0107,0.000911,0.111,0.54,119.999
127,0.525,0.618,9.0,-7.469,1.0,0.0353,0.258,0.0,0.0733,0.426,140.207
128,0.575,0.649,9.0,-4.295,1.0,0.0278,0.234,0.0,0.937,0.443,122.482
129,0.543,0.668,0.0,-7.396,1.0,0.0272,0.000724,8.04e-05,0.322,0.428,93.009
130,0.412,0.523,2.0,-10.714,1.0,0.0335,0.115,7.34e-06,0.314,0.294,128.592
131,0.344,0.157,5.0,-11.773,1.0,0.0457,0.756,0.0,0.351,0.313,57.86
132,0.722,0.718,11.0,-4.081,0.0,0.0426,0.0588,5.22e-06,0.0931,0.656,102.979
133,0.626,0.659,0.0,-5.669,1.0,0.0337,0.121,0.0,0.17,0.594,113.551
134,0.705,0.774,5.0,-9.659,0.0,0.0298,0.236,0.513,0.0375,0.564,98.141
135,0.378,0.505,2.0,-10.863,1.0,0.042,0.432,0.000226,0.27,0.415,95.254
136,0.389,0.487,2.0,-12.226,1.0,0.0332,0.0736,0.000751,0.333,0.366,126.747
137,0.415,0.498,6.0,-8.162,1.0,0.0328,0.0792,0.0,0.118,0.278,178.266
138,0.545,0.35,7.0,-13.155,1.0,0.0264,0.541,2.18e-05,0.122,0.736,96.239
139,0.371,0.978,3.0,-4.188,1.0,0.0873,0.000304,0.0,0.37,0.454,199.841
140,0.411,0.619,4.0,-8.249,0.0,0.173,0.609,1.24e-06,0.145,0.186,154.717
